Source;Station;Densp1;DensCS;EPA;Efficacite;Nom;Source;surf_reel;surf_theo
IAV;2007_0456XXX1;3;9;0;0.33;ACH-64;IAV;111.38;70.68583471
IAV;2007_0456XXX3;3;8;0.2;0.38;ARCH-66;IAV;127.84;70.68583471
IAV;2007_0456XXX5;4;6;;0.67;ARZ-45;IAV;122.61;70.68583471
IAV;2007_0456XXX8;6;12;0.33;0.5;ARZ-47;IAV;96.44;63.61725124
IAV;2007_0456XXX9;3;16;0.73;0.19;MARZ-13;IAV;203.84;77.75441818
IAV;2007_0456XX10;14;33;0.57;0.42;ARZA-5;IAV;116.1;98.96016859
IAV;2007_0456XX12;1;;0;;TREV-21;IAV;134.53;70.68583471
IAV;2007_0456XX13;8;19;0.22;0.42;TREVc-22;IAV;120.76;63.61725124
IAV;2007_0456XX16;20;43;1.4;0.47;TREV-22;IAV;167.08;70.68583471
IAV;2007_0435XXX1;10;37;1.2;0.27;ARONa-82;IAV;84.2;70.68583471
IAV;2007_0435XXX2;13;34;0.73;0.38;ARONb-82;IAV;139.13;77.75441818
IAV;2007_0435XXX6;43;87;2.2;0.49;CANSb-65;IAV;101.32;70.68583471
IAV;2007_0435XXX8;15;35;1.3;0.43;CANS-67;IAV;84.34;70.68583471
IAV;2007_0435XXX9;18;27;0.67;0.67;CHEVa-165;IAV;113.89;63.61725124
IAV;2007_0435XXX11;4;4;;1;CHEV-163;IAV;79.05;63.61725124
IAV;2007_0435XXX13;6;;0.08;;CANN-110;IAV;203.3;84.82300165
IAV;2007_0435XXX14;11;16;0.38;0.69;CANN-115;IAV;66.47;56.54866776
IAV;2007_0435XXX16;17;46;1.38;0.37;CHEa-135;IAV;92.93;56.54866776
IAV;2007_0435XXX18;7;16;0.29;0.44;CHEZ-134;IAV;132.92;49.48008429
IAV;2009_0456XXX1;10;18;0.86;0.89;ACH-64;IAV;112.23;49.48008429
IAV;2009_0456XXX3;3;15;0.5;0.53;ARCH-66;IAV;128.45;70.68583471
IAV;2009_0456XXX5;9;16;0.25;0.69;ARZ-45;IAV;377.68;56.54866776
IAV;2009_0456XXX8;22;49;0.7;0.59;ARZ-47;IAV;94.49;70.68583471
IAV;2009_0456XXX9;10;12;;;MARZ-13;IAV;166.25;0
IAV;2009_0456XX10;10;31;0.88;0.55;ARZA-5;IAV;95.73;56.54866776
IAV;2009_0456XX12;0;7;0.13;0.14;TREV-21;IAV;141.36;56.54866776
IAV;2009_0456XX13;18;41;0.11;0.46;TREVc-22;IAV;148.76;63.61725124
IAV;2009_0456XX16;15;38;0.44;0.5;TREV-22;IAV;150.76;63.61725124
IAV;2009_0435XXX1;11;23;0.75;0.74;ARONa-82;IAV;106.53;56.54866776
IAV;2009_0435XXX2;26;47;1.33;0.81;ARONb-82;IAV;123.77;63.61725124
IAV;2009_0435XXX6;14;41;0;0.34;CANSb-65;IAV;86.95;70.68583471
IAV;2009_0435XXX8;17;40;1.86;0.75;CANS-67;IAV;68.86;49.48008429
IAV;2009_0435XXX9;6;8;0.29;1;CHEVa-165;IAV;121.35;49.48008429
IAV;2009_0435XXX11;10;13;0.25;0.92;CHEV-163;IAV;113.14;56.54866776
IAV;2009_0435XXX13;4;12;0.38;0.58;CANN-110;IAV;123.79;56.54866776
IAV;2009_0435XXX14;8;11;0.29;0.91;CANN-115;IAV;105.53;49.48008429
IAV;2009_0435XXX16;4;33;0.86;0.3;CHEa-135;IAV;87.35;49.48008429
IAV;2009_0435XXX18;4;4;0;1;CHEZ-134;IAV;118.8;49.48008429
Bretagne;evron 1;14;30;0.56;0.47;evron 1;FD22;310.2;176.7145868
Bretagne;evron 2;8;21;0.32;0.38;evron 2;FD22;321.3;176.7145868
Bretagne;evron 3;2;3;0.08;0.67;evron 3;FD22;180;176.7145868
Bretagne;evron 5;0;;0;;evron 5;FD22;90;176.7145868
Bretagne;evron 6;1;1;0.04;1;evron 6;FD22;90;176.7145868
Bretagne;gouessant 1;10;29;0.4;0.34;gouessant 1;FD22;206.5;176.7145868
Bretagne;gouessant 2;10;17;0.4;0.59;gouessant 2;FD22;310;176.7145868
Bretagne;gouessant 3;0;;0;;gouessant 3;FD22;120;176.7145868
Bretagne;pont labbé 1;173;752;6.92;0.23;pont labbé 1;FD29;229;176.7145868
Bretagne;pont labbé 2;12;17;0.48;0.71;pont labbé 2;FD29;240;176.7145868
Bretagne;pont labbé 3;24;53;0.96;0.45;pont labbé 3;FD29;144;176.7145868
Bretagne;pont labbé 4;0;;0;;pont labbé 4;FD29;128;176.7145868
Bretagne;lanvern1;27;51;1.08;0.53;lanvern1;FD29;154;176.7145868
Bretagne;lanvern2;8;24;0.32;0.33;lanvern2;FD29;90;176.7145868
Bretagne;St Jean;21;;0.84;;St Jean;FD29;124;176.7145868
Bretagne;Rance 1;38;58;1.52;0.66;Rance 1;FD22;290;176.7145868
Bretagne;Rance 2;119;205;4.76;0.58;Rance 2;FD22;254.8;176.7145868
