station;operation;date;libelle;Station;Continuite;riviere;annee;class;mois;cour;plat;prof;CPROF;PPROF;FPROF;Pmoy;Vitesse ;ombrage;FOSSE;SBERG;GRANUL;EMBAC;VEGEAQ;VEGRIV;Habit;Nbpassage;Temperature;lgsta;larg;surf;intensite;puissance;tension;Dist;typedist;Nbba;AXE;sumba;ncs;limsup;liminf;probcs;denscs;densdelury;nbang;biomdelury;biomangdelury;effdelury;pbiomdelury;biomangcs;zero;un;deux;trois;quatreplus;pzero;pun;pdeux;ptrois;pquatreplus
;;;ARCH-81-64;ARCH-64;1;ARCHES;1981;5;6;;;;;;;;;;1;1;1;1;1;1;;;;235;4;940;;;;64;[50-100[;5;;;;;;;;5.425531915;;830;441;100;0.531325301;;2.70E-16;0.069416962;0.956237821;1.739626514;2.660250617;4.97E-15;1.279449893;17.62477553;32.06370438;49.03207019
;;;ARCH-81-64;ARCH-64;1;ARCHES;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;198;2.7;534.6;;;;64;[50-100[;5;;;;;;;;17;15.15;1946;1470;69;0.755395683;;1.32E-08;0.574764037;3.234770545;5.276075971;7.916089604;8.80E-10;0.03835592;0.215867021;0.352090136;0.528267046
;;;ARCH-81-82;ARCH-82;1;ARCHES;1981;5;6;;;;;;;;;;1;1;1;1;1;1;;;;170;1.5;255;;;;79;[50-100[;5;;;;;;;;4;3.529;1260;419;100;0.332539683;;8.50E-26;0.013025941;0.715132022;1.18229106;2.090017697;5.67E-27;0.000869264;0.047723144;0.078898223;0.139473848
;;;CANN-81-105;CANN-105;1;CANUTNORD;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;170;6;1020;;;;103;>=100;4;;;;;;;;1.470588235;;716;345;80;0.481843575;;0.091334562;0.006178215;0.055151332;0.110525083;1.207399044;0.062107502;0.004201186;0.037502906;0.075157057;0.82103135
;;;CANN-81-105;CANN-105;1;CANUTNORD;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;75;8;600;;;;103;>=100;4;;;;;;;;2;1.66;512;414;55;0.80859375;;1.43E-59;3.97E-07;0.066436415;0.262515916;1.679219961;7.11E-60;1.98E-07;0.033083019;0.130723776;0.836193007
;;;CANN-81-115;CANN-115;1;CANUTNORD;1981;4;7;;;;;;;;;;1;1;1;1;1;1;;;;65;5;325;;;;113;>=100;8;;;;;;;;1.846153846;;550;119;100;0.216363636;;0.314015133;0.282410801;0.324934806;0.350081894;0.574711213;0.17009153;0.152972517;0.176006353;0.189627692;0.311301907
;;;CANN-81-115;CANN-115;1;CANUTNORD;1981;4;9;;;;;;;;;;1;1;1;1;1;1;;;;80;6;480;;;;113;>=100;8;;;;;;;;0.416666667;;473;106;100;0.22410148;;1.79E-243;2.30E-35;2.42E-09;0.026348569;0.390318096;4.29E-243;5.53E-35;5.80E-09;0.063236565;0.93676343
;;;CANN-81-120;CANN-120;1;CANUTNORD;1981;4;7;;;;;;;;;;1;1;1;1;1;1;;;;150;3;450;;;;120;>=100;10;;;;;;;;2.222222222;;440;163;100;0.370454545;;5.42E-05;0.715132477;0.608077978;0.293637599;0.60531995;2.44E-05;0.321809614;0.27363509;0.132136919;0.272393977
;;;CANSa-81-65;CANSa-65;1;CANUTSUD;1981;5;7;;;;;;;;;;1;1;1;1;1;1;;;;43;4;172;;;;65;[50-100[;1;;;;;;;;4.069767442;;500;473;100;0.946;;1.25E-18;0.095912021;0.316010099;1.226269116;2.431576205;3.07E-19;0.023566954;0.077648196;0.30131184;0.59747301
;;;CANSa-81-65;CANSa-65;1;CANUTSUD;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;112;5;560;;;;65;[50-100[;1;;;;;;;;22;12.14;2036;1746;30;0.857563851;;2.03E-08;0.288363265;3.802708464;7.365417889;10.54868805;9.24E-10;0.013104337;0.172809714;0.334712948;0.479373
;;;CANS-81-67;CANS-67;1;CANUTSUD;1981;4;7;;;;;;;;;;1;1;1;1;1;1;;;;120;4;480;;;;67;[50-100[;1;;;;;;;;31;26.04;2501;2404;63;0.961215514;;0.003187008;2.185989584;6.823541827;8.618766646;13.37049906;0.0001028;0.07051128;0.220100165;0.278006937;0.431278818
;;;CANS-81-67;CANS-67;1;CANUTSUD;1981;4;9;;;;;;;;;;1;1;1;1;1;1;;;;120;4;480;;;;67;[50-100[;1;;;;;;;;19;16.6;1398;966;42;0.690987124;;0.501943381;2.732724407;5.168679863;4.699416044;5.973541526;0.0263124;0.14325229;0.270947639;0.246348336;0.313139335
;;;CHEV-81-163;CHEV-163;1;CHEVRE;1981;5;7;;;;;;;;;;1;1;1;1;1;1;;;;130;7;910;;;;163;>=100;21;;;;;;;;1.868131868;;2835;806;100;0.284303351;;4.99E-107;5.27E-14;0.002197827;0.142790078;1.723528578;2.67E-107;2.82E-14;0.001176242;0.076418955;0.922404803
;;;CHEV-81-163;CHEV-163;1;CHEVRE;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;170;7;1190;;;;163;>=100;21;;;;;;;;0.168067227;;279;149;100;0.534050179;;7.21E-244;9.29E-36;9.75E-10;0.010627994;0.157439232;4.29E-243;5.53E-35;5.80E-09;0.063236565;0.93676343
;;;CHEV-81-168;CHEV-168;0;CHEVRE;1981;5;7;;;;;;;;;;1;1;1;1;1;1;;;;120;4.2;504;;;;168;>=100;24;;;;;;;;5;4.16;2179;765;58;0.351078476;;0.021210558;0.398697959;0.634254254;1.1224067;2.831443349;0.004235324;0.079612008;0.126647889;0.22412217;0.565382608
;;;CHEV-81-168;CHEV-168;0;CHEVRE;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;100;7;700;;;;168;>=100;24;;;;;;;;0.571428571;;370;185;100;0.5;;5.22E-92;9.84E-12;0.007333156;0.102720909;0.461574506;9.13E-92;1.72E-11;0.012828533;0.179698697;0.80747277
;;;CHEV-81-168;CHEV-168;0;CHEVRE;1981;5;9;;;;;;;;;;1;1;1;1;1;1;;;;120;4.5;540;;;;168;>=100;24;;;;;;;;0.37037037;;243;176;100;0.724279835;;5.31E-54;1.97E-06;0.067811551;0.065787771;0.236769075;1.43E-53;5.33E-06;0.183091188;0.177626981;0.639276501
;;;TREVb-81-22;TREVb-22;1;TREVELO;1981;4;7;;;;;;;;;;;;;;;;;;;;;315;;;;22;<50;1;;;;;;;;50;44.7;5004;2736;68;0.54676259;;1.854997384;5.635149697;12.42314567;14.48589691;15.67893257;0.037042071;0.112527176;0.248075309;0.289265976;0.313089466
