annee;ctot;pYpR;rec
1980;95;0.05;118
1981;57;0.05;89
1982;98;0.05;102
1983;69;0.05;50
1984;36;0.05;58
1985;41;0.05;53
1986;52.6;0.05;36
1987;41.2;0.05;65
1988;46.6;0.05;66
1989;36.7;0.05;47
1990;35.9;0.05;38
1991;15.35;0.05;18
1992;29.57;0.05;25
1993;31;0.05;29
1994;24;0.05;30
1995;29.7;0.05;33
1996;23.3;0.088;28
1997;22.9;0.053;36
1998;18.9;0.219;21
1999;16;0.101;24
2000;14.5;0.047;20
2001;8.5;0.038;9.7
2002;15.9;0.003;14.6
2003;9.4;0.101;11.9
2004;7.5;0.027;7.9
2005;7.4;0.012;9.9
2006;6.1;0.152;7.3
2007;6.7;0.106;7
2008;4.6;0.166;5.7
2009;2.6;0.072;3.7
2010;3;0.038;4.5
2011;3.9;0.014;4.3
2012;5.7;0.480;6.5
