Source;Station;Nom;Densp1;Eff1;Eff2;DensCS;EPA;Efficacite;surf_reel;surf_reel_2;surf_theo;largeur (m);longueur (m);profondeur (cm);vitesse m/s ou 0/+/++);substrat dom;substrat accessoire;facies plat;facies profond;facies radier;végétation aquatique (abs/pres);abris poissons 1 (abs/pres);abris poissons 2 (abs/pres);abris poissons 3 (abs/pres);abris poissons 4 (abs/pres);abris poissons 5 (abs/pres)
IAV;2007_0456XXX1;ARCH-64;3;3;4;9;0;0.33;111.38;111.5;70.68583471;2.23;50;16;0.09;;;84;0;16;;;;;;
IAV;2007_0456XXX3;ARCH-66;3;3;3;8;0.2;0.38;127.84;127.92;70.68583471;2.46;52;27;0.06;;;73;0;27;;;;;;
IAV;2007_0456XXX5;ARZ-45;4;4;1;6;;0.67;122.61;122.64;70.68583471;8.76;14;15;1;;;0;0;100;;;;;;
IAV;2007_0456XXX8;ARZ-47;6;6;3;12;0.33;0.5;96.44;96.6;63.61725124;2.1;46;22;0.09;;;42;29;29;;;;;;
IAV;2007_0456XXX9;MARZ-13;3;3;4;16;0.73;0.19;203.84;204.05;77.75441818;3.71;55;40;0.06;;;100;0;0;;;;;;
IAV;2007_0456XX10;ARZA-5;14;14;8;33;0.57;0.42;116.1;116.07;98.96016859;1.59;73;21;;;;23;0;77;;;;;;
IAV;2007_0456XX12;TREV-21;1;1;;;0;;134.53;134.56;70.68583471;2.32;58;8;0.15;;;82;0;18;;;;;;
IAV;2007_0456XX13;TREVc-22;8;8;6;19;0.22;0.42;120.76;120.95;63.61725124;2.95;41;25;0.26;;;0;31;69;;;;;;
IAV;2007_0456XX16;TREV-22;20;20;8;43;1.4;0.47;167.08;167.28;70.68583471;3.28;51;23;0.2;;;39;0;61;;;;;;
IAV;2007_0435XXX1;ARONa-82;10;10;10;37;1.2;0.27;84.2;84.2;70.68583471;4.21;20;29;0.18;;;80;0;20;;;;;;
IAV;2007_0435XXX2;ARONb-82;13;13;9;34;0.73;0.38;139.13;139.12;77.75441818;3.76;37;17;0.22;;;46;17;37;;;;;;
IAV;2007_0435XXX6;CANSb-65;43;43;17;87;2.2;0.49;101.32;101.25;70.68583471;3.75;27;15;0.72;;;32;0;68;;;;;;
IAV;2007_0435XXX8;CANS-67;15;15;6;35;1.3;0.43;84.34;84.28;70.68583471;3.01;28;17;0.5;;;63;0;37;;;;;;
IAV;2007_0435XXX9;CHEVa-165;18;18;3;27;0.67;0.67;113.89;113.9;63.61725124;3.35;34;27;0.12;;;29;50;21;;;;;;
IAV;2007_0435XXX11;CHEV-163;4;4;0;4;;1;79.05;79;63.61725124;3.95;20;20;0.38;;;0;0;100;;;;;;
IAV;2007_0435XXX13;CANN-110;6;6;;;0.08;;203.3;203.28;84.82300165;6.16;33;12;0.11;;;34;0;66;;;;;;
IAV;2007_0435XXX14;CANN-115;11;11;2;16;0.38;0.69;66.47;66.4;56.54866776;4.15;16;18;0.34;;;64;0;36;;;;;;
IAV;2007_0435XXX16;CHEa-135;17;17;12;46;1.38;0.37;92.93;93.06;56.54866776;2.82;33;16;0.29;;;30;0;70;;;;;;
IAV;2007_0435XXX18;CHEZ-134;7;7;5;16;0.29;0.44;132.92;132.8;49.48008429;4.15;32;20;0.07;;;100;0;0;;;;;;
IAV;2009_0456XXX1;ACH-64;10;10;2;18;0.86;0.89;112.23;112.33;49.48008429;2.39;47;26;0;;;58;31;11;;;;;;
IAV;2009_0456XXX3;ARCH-66;3;3;5;15;0.5;0.53;128.45;128.52;70.68583471;2.52;51;14;0.03;;;83;0;17;;;;;;
IAV;2009_0456XXX5;ARZ-45;9;9;4;16;0.25;0.69;377.68;377.88;56.54866776;8.04;47;8;0;;;0;0;100;;;;;;
IAV;2009_0456XXX8;ARZ-47;22;22;13;49;0.7;0.59;94.49;94.3;70.68583471;2.05;46;26;0.12;;;58;24;18;;;;;;
IAV;2009_0456XXX9;MARZ-13;10;10;2;12;;;166.25;166.08;0;3.46;48;34;0;;;100;0;0;;;;;;
IAV;2009_0456XX10;ARZA-5;10;10;9;31;0.88;0.55;95.73;95.85;56.54866776;1.35;71;13;0.09;;;6;23;71;;;;;;
IAV;2009_0456XX12;TREV-21;0;0;4;7;0.13;0.14;141.36;141.44;56.54866776;2.21;64;10;;;;64;0;36;;;;;;
IAV;2009_0456XX13;TREVc-22;18;18;12;41;0.11;0.46;148.76;148.58;63.61725124;3.23;46;22;;;;20;59;21;;;;;;
IAV;2009_0456XX16;TREV-22;15;15;11;38;0.44;0.5;150.76;150.8;63.61725124;2.9;52;22;;;;50;14;36;;;;;;
IAV;2009_0435XXX1;ARONa-82;11;11;5;23;0.75;0.74;106.53;106.65;56.54866776;3.95;27;11;0.1;;;86;0;14;;;;;;
IAV;2009_0435XXX2;ARONb-82;26;26;8;47;1.33;0.81;123.77;123.88;63.61725124;3.26;38;13;0.05;;;53;20;27;;;;;;
IAV;2009_0435XXX6;CANSb-65;14;14;12;41;0;0.34;86.95;87.08;70.68583471;3.11;28;8;0.46;;;42;0;58;;;;;;
IAV;2009_0435XXX8;CANS-67;17;17;8;40;1.86;0.75;68.86;68.85;49.48008429;2.55;27;10;0.15;;;78;0;22;;;;;;
IAV;2009_0435XXX9;CHEVa-165;6;6;0;8;0.29;1;121.35;121.28;49.48008429;3.79;32;21;;;;23;52;25;;;;;;
IAV;2009_0435XXX11;CHEV-163;10;10;1;13;0.25;0.92;113.14;113.13;56.54866776;4.19;27;20;0.18;;;36;0;64;;;;;;
IAV;2009_0435XXX13;CANN-110;4;4;4;12;0.38;0.58;123.79;123.75;56.54866776;4.95;25;13;0.13;;;100;0;0;;;;;;
IAV;2009_0435XXX14;CANN-115;8;8;1;11;0.29;0.91;105.53;105.6;49.48008429;3.3;32;11;0.13;;;100;0;0;;;;;;
IAV;2009_0435XXX16;CHEa-135;4;4;10;33;0.86;0.3;87.35;87.48;49.48008429;2.43;36;11;0.25;;;77;0;23;;;;;;
IAV;2009_0435XXX18;CHEZ-134;4;4;0;4;0;1;118.8;118.73;49.48008429;3.83;31;15;0;;;100;0;0;;;;;;
Bretagne;evron 1;evron 1;14;14;9;30;0.56;0.47;310.2;310.2;176.7145868;6;51.7;21;+;cailloux;graviers;;;;abs;blocs;;;;
Bretagne;evron 2;evron 2;8;8;7;21;0.32;0.38;321.3;321.3;176.7145868;6.3;51;28;+;sable;cailloux;;;;pres;végétation;blocs;;;
Bretagne;evron 3;evron 3;2;2;1;3;0.08;0.67;180;190;176.7145868;5;38;24;+;cailloux;vase;;;;pres;blocs;racine;végétation;;
Bretagne;evron 5;evron 5;0;0;0;;0;;90;90;176.7145868;1.5;60;21;+;cailloux;graviers;;;;pres;végétation;racine;blocs;sous-berge;
Bretagne;evron 6;evron 6;1;1;0;1;0.04;1;90;90;176.7145868;1.5;60;16;+;cailloux;pierre;;;;pres;sous-berge;végétation;;;
Bretagne;gouessant 1;gouessant 1;10;10;9;29;0.4;0.34;206.5;206.5;176.7145868;7;29.5;17;+;graviers;cailloux;;;;abs;végétation;sous-berge;bois mort;;
Bretagne;gouessant 2;gouessant 2;10;10;5;17;0.4;0.59;310;310;176.7145868;15.5;20;17;+;vase;cailloux;;;;pres;blocs;végétation;;;
Bretagne;gouessant 3;gouessant 3;0;0;0;;0;;120;120;176.7145868;4;30;20;++;cailloux;pierre;;;;pres;végétation;blocs;;;
Bretagne;pont labbé 1;pont labbé 1;173;173;139;752;6.92;0.23;229;229.2;176.7145868;4;57.3;40;+;graviers;blocs;;;;abs;blocs;racine;;;
Bretagne;pont labbé 2;pont labbé 2;12;12;4;17;0.48;0.71;240;240;176.7145868;4;60;42;+;cailloux;sable;;;;abs;blocs;;;;
Bretagne;pont labbé 3;pont labbé 3;24;24;15;53;0.96;0.45;144;144;176.7145868;4.8;30;27;+;graviers;pierre;;;;pres;végétation;sous-berge;;;
Bretagne;pont labbé 4;pont labbé 4;0;0;0;;0;;128;127.5;176.7145868;1.7;75;10;+;graviers;sable;;;;pres;sous-berge;blocs;;;
Bretagne;lanvern1;lanvern1;27;27;14;51;1.08;0.53;154;154;176.7145868;2.8;55;28;+;sable;cailloux;;;;pres;végétation;racine;sous-berge;blocs;
Bretagne;lanvern2;lanvern2;8;8;8;24;0.32;0.33;90;90;176.7145868;1.2;75;14;+;blocs;sable;;;;pres;sous-berge;blocs;;;
Bretagne;St Jean;St Jean;21;21;0;;0.84;;124;124.1;176.7145868;1.7;73;18;+;cailloux;sable;;;;pres;blocs;sous-berge;;;
Bretagne;Rance 1;Rance 1;38;38;14;58;1.52;0.66;290;289.8;176.7145868;13.8;21;36;+;cailloux;graviers;;;;abs;blocs;végétation;racine;;
Bretagne;Rance 2;Rance 2;119;119;51;205;4.76;0.58;254.8;253.5;176.7145868;6.5;39;15;+;cailloux;pierre;;;;pres;blocs;végétation;;;
Bretagne;Rance 3;Rance 3;1;1;0;1;0.04;1;249.6;292.5;176.7145868;7.5;39;31;++;graviers;;;;;pres;végétation;racine;sous-berge;;
Bretagne;Rance 4;Rance 4;0;0;0;;0;;480;480;176.7145868;8;60;25;++;cailloux;vase;;;;pres;végétation;sous-berge;;;
Bretagne;Rance 5;Rance 5;1;1;0;1;0.04;1;294;294;176.7145868;6;49;28;++;graviers;vase;;;;pres;végétation;;;;
Bretagne;Linon;Linon;119;119;66;258;4.76;0.46;168;168;176.7145868;7;24;25;+;cailloux;blocs;;;;pres;blocs;sous-berge;;;
Bretagne;Le Hac;Le Hac;10;10;8;25;0.4;0.4;108.1;108.1;176.7145868;2.3;47;38;+;sable;cailloux;;;;abs;racine;blocs;bois mort;sous-berge;végétation
SD22;Camarel 1;Camarel 1;70;70;54;244;2.8;0.29;128;128;176.7145868;1.6;80;18;++;cailloux;pierre;;;;pres;blocs;sous-berge;;;
SD22;Camarel 2;Camarel 2;57;57;52;283;2.28;0.2;126;126;176.7145868;1.5;84;17;++;cailloux;pierre;;;;pres;végétation;blocs;;;
SD22;Bouillennou 1;Bouillennou 1;54;54;43;192;2.16;0.28;136;136;176.7145868;1.6;85;17;++;cailloux;sable;;;;pres;blocs;végétation;;;
SD22;Bouillennou 2;Bouillennou 2;2;2;0;2;0.08;1;112;112;176.7145868;1.4;80;17;+;sable;graviers;;;;abs;abs;;;;
SD22;Matignon 1;Matignon 1;36;36;18;67;1.44;0.54;233;232.5;176.7145868;2.5;93;20;+;blocs;pierre;;;;abs;blocs;;;;
SD22;Matignon 2;Matignon 2;3;3;0;3;0.12;1;120;120;176.7145868;1.2;100;13;0;blocs;cailloux;;;;abs;blocs;sous-berge;;;
SD22;Drouet 1;Drouet 1;11;11;8;25;0.44;0.44;224;224;176.7145868;2.8;80;20;0;vase;cailloux;;;;pres;végétation;;;;
SD22;Drouet 2;Drouet 2;2;2;0;2;0.08;1;97.5;97.5;176.7145868;1.3;75;20;0;sable;vase;;;;abs;sous-berge;;;;
SD22;Coetquen 1;Coetquen 1;12;12;6;20;0.48;0.6;160;160;176.7145868;2;80;18;+;cailloux;pierre;;;;abs;blocs;racine;sous-berge;;
SD22;Coetquen 2;Coetquen 2;9;9;4;14;0.36;0.64;58.3;58.3;176.7145868;1.1;53;35;0;vase;sable;;;;pres;végétation;;;;
SD22;Gue Parfond 1;Gue Parfond 1;9;9;1;10;0.36;0.9;144;144;176.7145868;1.6;90;18;+;sable;graviers;;;;abs;racine;sous-berge;blocs;;
SD22;Gue Parfond 2;Gue Parfond 2;5;5;0;5;0.2;1;105;105;176.7145868;1.4;75;23;0;sable;vase;;;;abs;sous-berge;bois mort;racine;;
SD22;Osée 1;Osée 1;62;62;31;118;2.07;0.53;;;212.0575041;;;;;;;;;;;;;;;
SD22;Osée 2;Osée 2;7;7;3;10;0.23;0.7;;;219.1260876;;;;;;;;;;;;;;;
SD22;Osée 3;Osée 3;12;12;14;54;0.63;0.22;;;134.3030859;;;;;;;;;;;;;;;
SD22;Osée 4;Osée 4;4;4;1;5;0.19;0.8;;;148.4402529;;;;;;;;;;;;;;;
SD22;Osée 5;Osée 5;15;15;9;30;0.83;0.5;;;127.2345025;;;;;;;;;;;;;;;
LOGRAMI;Négron 1;Négron 1;9,8;7;1;8;0.28;0.875;304;304;176.7145868;3.8;80;39;;;;;;;;;;;;
LOGRAMI;Négron 2;Négron 2;1,4;1;0;1;0.04;1;596.75;596.75;176.7145868;7.7;77.5;40;;;;;;;;;;;;
LOGRAMI;Veude 1;Veude 1;8,4;6;0;6;0.24;1;367.2;367.2;176.7145868;10.2;36;25;;;;;;;;;;;;
LOGRAMI;Veude 2;Veude 2;8,4;6;0;6;0.24;1;283.88;283.88;176.7145868;9.4;30.2;39;;;;;;;;;;;;
LOGRAMI;Veude 3;Veude 3;4,2;3;0;3;0.12;1;331.1;331.1;176.7145868;4.3;77;40;;;;;;;;;;;;
LOGRAMI;Mâble 1;Mâble 1;4,2;3;1;4;0.12;0.75;357;357;176.7145868;4.2;85;29;;;;;;;;;;;;
LOGRAMI;Ruau 1;Ruau 1;7;5;1;6;0.2;0.833333333;277.14;277.14;176.7145868;3.1;89.4;21;;;;;;;;;;;;
LOGRAMI;Manse 1;Manse 1;12,6;9;2;11;0.36;0.818181818;238.7;293.7;176.7145868;5.5;53.4;41;;;;;;;;;;;;
LOGRAMI;Nouâtre 1;Nouâtre 1;2,8;2;1;3;0.08;0.666666667;183.6;183.6;176.7145868;2.7;68;17;;;;;;;;;;;;
LOGRAMI;Esves 1;Esves 1;4,2;3;0;3;0.12;1;330.04;330.04;176.7145868;7.4;44.6;21;;;;;;;;;;;;
LOGRAMI;Veude Porcay 1;Veude Porcay 1;1,4;1;0;1;0.04;1;320.6;320.6;176.7145868;3.5;91.6;22;;;;;;;;;;;;
LOGRAMI;Trois Moulins 1;Trois Moulins 1;1,4;1;0;1;0.04;1;174.24;145.2;176.7145868;1.5;96.8;33;;;;;;;;;;;;
LOGRAMI;Batreau 1;Batreau 1;1,4;1;0;1;0.04;1;294.56;294.56;176.7145868;2.8;105.2;14;;;;;;;;;;;;
LOGRAMI;Ozon 2;Ozon 2;1,4;1;0;1;0.04;1;551.2;551.2;176.7145868;5.2;106;20;;;;;;;;;;;;
LOGRAMI;Ris 1;Ris 1;1,4;1;0;1;0.04;1;291.6;291.6;176.7145868;2.7;108;22;;;;;;;;;;;;
LOGRAMI;Arceau 1;Arceau 1;1,4;1;0;1;0.04;1;216.5;216.5;176.7145868;2.5;86.6;34;;;;;;;;;;;;
