"Source";"Station";"Nom";"Densp1";"Eff1";"Eff2";"DensCS";"EPA";"Efficacite";"surf_reel";"surf_theo";"largeur..m.";"longueur..m.";"profondeur..cm.";"vitesse.m.s.ou.0......";"substrat.dom";"substrat.accessoire";"facies.plat";"facies.profond";"facies.radier";"végétation.aquatique..abs.pres.";"abris.poissons.1..abs.pres.";"abris.poissons.2..abs.pres.";"abris.poissons.3..abs.pres.";"abris.poissons.4..abs.pres.";"abris.poissons.5..abs.pres.";"DensCSold";"NCS";"LCI";"UCI";"p";"zip";"pzip";"LCIzip";"UCIzip";"Nzip";"DensZip"
"IAV";"2007_0456XXX1";"ARCH-64";0.0269348177410666;3;4;0.0808044532231999;0;0.33;111.38;70.68583471;2.23;50;16;"0.09";"";"";84;0;16;"";"";"";"";"";"";9;9;4.03058429805395;13.969415701946;0.466666666666667;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2007_0456XXX3";"ARCH-66";0.0234668335419274;3;3;0.054755944931164;0.2;0.38;127.84;70.68583471;2.46;52;27;"0.06";"";"";73;0;27;"";"";"";"";"";"";8;7;3.97851148002496;10.021488519975;0.545454545454545;8;0.461538461538462;-3.80807891089548;19.8080789108955;NA;NA
"IAV";"2007_0456XXX5";"ARZ-45";0.0326237664138325;4;1;0.0407797080172906;NA;0.67;122.61;70.68583471;8.76;14;15;"1";"";"";0;0;100;"";"";"";"";"";"";6;5;5;5;0.833333333333333;5;0.833333333333333;3.96288454365276;6.03711545634724;5;0.0407797080172906
"IAV";"2007_0456XXX8";"ARZ-47";0.062214848610535;6;3;0.0933222729158026;0.33;0.5;96.44;63.61725124;2.1;46;22;"0.09";"";"";42;29;29;"";"";"";"";"";"";12;9;9;9;0.75;10;0.642857142857143;4.99699275643683;15.0030072435632;10;0.103691414350892
"IAV";"2007_0456XXX9";"MARZ-13";0.0147174254317111;3;4;0.0441522762951334;0.73;0.19;203.84;77.75441818;3.71;55;40;"0.06";"";"";100;0;0;"";"";"";"";"";"";16;9;4.03058429805395;13.969415701946;0.466666666666667;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2007_0456XX10";"ARZA-5";0.120585701981051;14;8;0.232558139534884;0.57;0.42;116.1;98.96016859;1.59;73;21;"";"";"";23;0;77;"";"";"";"";"";"";33;27;17.2896780243092;36.7103219756908;0.55;28;0.523809523809524;12.1722593326529;43.8277406673471;28;0.241171403962102
"IAV";"2007_0456XX12";"TREV-21";0.00743328625585371;1;NA;NA;0;NA;134.53;70.68583471;2.32;58;8;"0.15";"";"";82;0;18;"";"";"";"";"";"";NA;NA;NA;NA;NA;NA;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2007_0456XX13";"TREVc-22";0.0662471016893011;8;6;0.149055978800927;0.22;0.42;120.76;63.61725124;2.95;41;25;"0.26";"";"";0;31;69;"";"";"";"";"";"";19;18;9.37067779283948;26.6293222071605;0.5;20;0.4375;-1.29749586548306;41.2974958654831;20;0.165617754223253
"IAV";"2007_0456XX16";"TREV-22";0.119703136222169;20;8;0.185539861144362;1.4;0.47;167.08;70.68583471;3.28;51;23;"0.2";"";"";39;0;61;"";"";"";"";"";"";43;31;25.1065129023266;36.8934870976734;0.666666666666667;32;0.636363636363636;22.7256893032057;41.2743106967943;32;0.191525017955470
"IAV";"2007_0435XXX1";"ARONa-82";0.118764845605701;10;10;0.391923990498812;1.2;0.27;84.2;70.68583471;4.21;20;29;"0.18";"";"";80;0;20;"";"";"";"";"";"";37;33;9.46867534008904;56.531324659911;0.357142857142857;61;0.178571428571429;-163.890404756334;285.890404756334;NA;NA
"IAV";"2007_0435XXX2";"ARONb-82";0.0934377919931;13;9;0.208438151369223;0.73;0.38;139.13;77.75441818;3.76;37;17;"0.22";"";"";46;17;37;"";"";"";"";"";"";34;29;16.1736669419888;41.8263330580112;0.488888888888889;33;0.415094339622642;1.99923745397447;64.0007625460255;33;0.237188241213254
"IAV";"2007_0435XXX6";"CANSb-65";0.424397947098302;43;17;0.681010659297276;2.2;0.49;101.32;70.68583471;3.75;27;15;"0.72";"";"";32;0;68;"";"";"";"";"";"";87;69;56.462351417645;81.537648582355;0.631578947368421;69;0.631578947368421;55.0206981896759;82.9793018103241;69;0.681010659297276
"IAV";"2007_0435XXX8";"CANS-67";0.177851553236898;15;6;0.272705714963244;1.3;0.43;84.34;70.68583471;3.01;28;17;"0.5";"";"";63;0;37;"";"";"";"";"";"";35;23;18.4499838951429;27.5500161048571;0.67741935483871;23;0.67741935483871;16.7457534841697;29.2542465158303;23;0.272705714963244
"IAV";"2007_0435XXX9";"CHEVa-165";0.158047238563526;18;3;0.184388444990781;0.67;0.67;113.89;63.61725124;3.35;34;27;"0.12";"";"";29;50;21;"";"";"";"";"";"";27;21;21;21;0.875;21;0.875;19.5451040561878;22.4548959438122;21;0.184388444990781
"IAV";"2007_0435XXX11";"CHEV-163";0.0506008855154965;4;0;0.0506008855154965;NA;1;79.05;63.61725124;3.95;20;20;"0.38";"";"";0;0;100;"";"";"";"";"";"";4;4;NA;NA;1;4;1;4;4;4;0.0506008855154965
"IAV";"2007_0435XXX13";"CANN-110";0.029513034923758;6;NA;NA;0.08;NA;203.3;84.82300165;6.16;33;12;"0.11";"";"";34;0;66;"";"";"";"";"";"";NA;NA;NA;NA;NA;NA;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2007_0435XXX14";"CANN-115";0.165488190160975;11;2;0.195576952008425;0.38;0.69;66.47;56.54866776;4.15;16;18;"0.34";"";"";64;0;36;"";"";"";"";"";"";16;13;13;13;0.866666666666667;13;0.866666666666667;11.7567479183592;14.2432520816408;13;0.195576952008425
"IAV";"2007_0435XXX16";"CHEa-135";0.182933390724201;17;12;0.441192295276014;1.38;0.37;92.93;56.54866776;2.82;33;16;"0.29";"";"";30;0;70;"";"";"";"";"";"";46;41;20.7526541033357;61.2473458966643;0.446153846153846;46;0.386666666666667;2.92943916787171;89.0705608321283;46;0.494996233724309
"IAV";"2007_0435XXX18";"CHEZ-134";0.0526632560938911;7;5;0.105326512187782;0.29;0.44;132.92;49.48008429;4.15;32;20;"0.07";"";"";100;0;0;"";"";"";"";"";"";16;14;9.30946886411542;18.6905311358846;0.571428571428571;16;0.48;0.886280286485333;31.1137197135147;16;0.120373156786037
"IAV";"2009_0456XXX1";"ACH-64";0.0891027354539784;10;2;0.106923282544774;0.86;0.89;112.23;49.48008429;2.39;47;26;"0";"";"";58;31;11;"";"";"";"";"";"";18;12;12;12;0.857142857142857;12;0.857142857142857;10.6933573436400;13.3066426563600;12;0.106923282544774
"IAV";"2009_0456XXX3";"ARCH-66";0.0233553912028026;3;5;0.0934215648112106;0.5;0.53;128.45;70.68583471;2.52;51;14;"0.03";"";"";83;0;17;"";"";"";"";"";"";15;12;3.18621341706119;20.8137865829388;0.380952380952381;16;0.241379310344828;-50.5072194612511;82.507219461251;5;0.0389256520046711
"IAV";"2009_0456XXX5";"ARZ-45";0.0238296970980724;9;4;0.0370684177081127;0.25;0.69;377.68;56.54866776;8.04;47;8;"0";"";"";0;0;100;"";"";"";"";"";"";16;14;11.1484639818334;16.8515360181666;0.68421052631579;14;0.68421052631579;9.3062675002101;18.6937324997899;14;0.0370684177081127
"IAV";"2009_0456XXX8";"ARZ-47";0.232828870779977;22;13;0.486824002539951;0.7;0.59;94.49;70.68583471;2.05;46;26;"0.12";"";"";58;24;18;"";"";"";"";"";"";49;46;28.1282298673669;63.871770132633;0.5;48;0.472972972972973;20.8124250250456;75.1875749749544;48;0.507990263519949
