code_iav;code_histo;riviere;distance_mer;Id_PtPrelMetier_avant_2014;Id_PtPrelMetier_apres_2014
ARCH-64;0456XXX1;ARCHES;64;13220;13242
ARCH-66;0456XXX3;ARCHES;66;13222;13243
ARONa-82;0435XXX1;ARON;82;13207;2090
ARONb-82;0435XXX2;ARON;82;13208;13250
ARZ-44;0456XXX5;ARZ;44;13224;13244
ARZ-47;0456XXX8;ARZ;47;13227;13245
ARZA-4;0456XX10;ARZAL;4;13229;2151
CANN-110;0435XX13;CANUTNORD;110;13199;13255
CANN-115;0435XX14;CANUTNORD;115;13200;13256
CANS-67;0435XXX8;CANUTSUD;67;13194;13252
CANSb-65;0435XXX6;CANUTSUD;65;13192;13251
CHEV-163;0435XX11;CHEVRE;163;13197;13254
CHEVa-165;0435XXX9;CHEVRE;165;13195;13253
CHEZ-134;0435XX18;CHEZE;134;13204;13258
CHEZa-135;0435XX16;CHEZE;135;13202;13257
MARZ-13;0456XXX9;MARZAN;13;13228;13246
SEICH-149;0456XX21;SEICHE;149;;13259
SEICH-150;0456XX20;SEICHE;150;;13260
TREV-22;0456XX13;TREVELO;22;13232;13247
TREV-bou;0456XX12;TREVELO;21;13231;13248
TREV-pes;0456XX16;TREVELO;22;13235;13249
